Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun);Sampah Terkelola Tahunan (ton/tahun)
2021;Jambi;Kota Jambi;158.107;153.795
2021;Sumatera Selatan;Kab. Muara Enim;148.459;69.290
2021;Sumatera Selatan;Kab. Lahat;112.362;32.566
2021;Sumatera Selatan;Kab. Musi Banyuasin;90.842;38.545
2021;Sumatera Selatan;Kab. Ogan Komering Ulu Timur;102.228;44.236
2021;Sumatera Selatan;Kota Palembang;430.792;413.139
2021;Sumatera Selatan;Kota Prabumulih;35.427;31.522
2021;Bengkulu;Kab. Seluma;38.966;1.551
2021;Lampung;Kab. Lampung Tengah;172.708;29.456
2021;Lampung;Kab. Tanggamus;89.783;11.013
2021;Lampung;Kab. Way Kanan;70.036;4.874
2021;Lampung;Kab. Pringsewu;59.396;11.048
2021;Lampung;Kota Bandar Lampung;281.129;208.543
2021;Lampung;Kota Metro;37.913;5.200.245
2021;Kepulauan Bangka Belitung;Kab. Bangka;47.635;31.676
2021;Kepulauan Bangka Belitung;Kab. Belitung;26.533;11.700
2021;Kepulauan Bangka Belitung;Kab. Bangka Selatan;29.247;18.314
2021;Kepulauan Bangka Belitung;Kab. Bangka Tengah;29.627;10.626
2021;Kepulauan Bangka Belitung;Kota Pangkal Pinang;58.399;56.169
2021;Kepulauan Riau;Kab. Bintan;20.326;19.847
2021;Kepulauan Riau;Kab. Karimun;66.290;40.221
2021;Kepulauan Riau;Kota Tanjung Pinang;55.366;44.115
2021;DKI Jakarta;Kab. Adm. Kep. Seribu;6.429;1.890
2021;DKI Jakarta;Kota Adm. Jakarta Pusat;309.298;308.404
2021;DKI Jakarta;Kota Adm. Jakarta Utara;494.455;487.450
2021;DKI Jakarta;Kota Adm. Jakarta Barat;729.093;729.913
2021;DKI Jakarta;Kota Adm. Jakarta Selatan;707.201;704.508
2021;DKI Jakarta;Kota Adm. Jakarta Timur;836.961;203.506
2021;Jawa Barat;Kab. Bandung;462.939;288.876
2021;Jawa Barat;Kab. Garut;408.822;111.401
2021;Jawa Barat;Kab. Ciamis;208.818;159.136
2021;Jawa Barat;Kab. Cirebon;451.550;74.286
2021;Jawa Barat;Kab. Sumedang;161.463;49.775
2021;Jawa Barat;Kab. Indramayu;402.455;243.514
2021;Jawa Barat;Kota Bogor;245.922;236.190
2021;Jawa Barat;Kota Sukabumi;65.796;64.682
2021;Jawa Barat;Kota Bandung;581.280;519.065
2021;Jawa Barat;Kota Cirebon;74.632;60.490
2021;Jawa Barat;Kota Bekasi;867.237;441.931
2021;Jawa Barat;Kota Depok;479.661;463.138
2021;Jawa Barat;Kota Cimahi;100.289;94.270
2021;Jawa Tengah;Kab. Cilacap;344.409;270.544
2021;Jawa Tengah;Kab. Banyumas;195.358;191.495
2021;Jawa Tengah;Kab. Purbalingga;184.585;41.706
2021;Jawa Tengah;Kab. Purworejo;105.420;45.987
2021;Jawa Tengah;Kab. Wonosobo;132.496;64.948
2021;Jawa Tengah;Kab. Magelang;248.800;42.613
2021;Jawa Tengah;Kab. Boyolali;106.159;58.039
2021;Jawa Tengah;Kab. Klaten;215.459;91.151
2021;Jawa Tengah;Kab. Sukoharjo;131.201;86.280
2021;Jawa Tengah;Kab. Wonogiri;160.370;64.175
2021;Jawa Tengah;Kab. Karanganyar;132.072;31.698
2021;Jawa Tengah;Kab. Sragen;213.952;152.293
2021;Jawa Tengah;Kab. Blora;82.802;81.384
2021;Jawa Tengah;Kab. Rembang;89.666;27.916
2021;Jawa Tengah;Kab. Pati;241.664;104.442
2021;Jawa Tengah;Kab. Jepara;146.028;75.595
2021;Jawa Tengah;Kab. Demak;263.666;129.699
2021;Jawa Tengah;Kab. Semarang;192.189;94.493
2021;Jawa Tengah;Kab. Temanggung;182.563;58.419
2021;Jawa Tengah;Kab. Batang;118.317;38.296
2021;Jawa Tengah;Kab. Pekalongan;141.448;64.536
2021;Jawa Tengah;Kab. Pemalang;214.837;172.589
2021;Jawa Tengah;Kab. Tegal;244.819;198.163
2021;Jawa Tengah;Kab. Brebes;358.865;63.542
2021;Jawa Tengah;Kota Magelang;29.448;25.620
2021;Jawa Tengah;Kota Salatiga;40.969;36.772
2021;Jawa Tengah;Kota Semarang;430.750;421.616
2021;Jawa Tengah;Kota Tegal;73.574;60.281
2021;D.I. Yogyakarta;Kab. Kulon Progo;64.654;27.277
2021;D.I. Yogyakarta;Kab. Sleman;268.482;142.855
2021;D.I. Yogyakarta;Kota Yogyakarta;119.502;118.818
2021;Jawa Timur;Kab. Pacitan;104.655;24.119
2021;Jawa Timur;Kab. Ponorogo;141.541;113.240
2021;Jawa Timur;Kab. Trenggalek;107.294;77.774
2021;Jawa Timur;Kab. Tulungagung;200.128;84.445
2021;Jawa Timur;Kab. Blitar;149.624;112.099
2021;Jawa Timur;Kab. Kediri;194.846;49.569
2021;Jawa Timur;Kab. Lumajang;183.049;99.344
2021;Jawa Timur;Kab. Banyuwangi;457.297;225.751
2021;Jawa Timur;Kab. Situbondo;93.866;74.506
2021;Jawa Timur;Kab. Jombang;193.583;70.717
2021;Jawa Timur;Kab. Nganjuk;162.014;81.562
2021;Jawa Timur;Kab. Magetan;97.939;31.109
2021;Jawa Timur;Kab. Ngawi;130.204;56.506
2021;Jawa Timur;Kab. Bojonegoro;195.824;45.240
2021;Jawa Timur;Kab. Tuban;183.655;97.343
2021;Jawa Timur;Kab. Lamongan;81.008;34.129
2021;Jawa Timur;Kab. Pamekasan;100.957;50.647
2021;Jawa Timur;Kab. Sumenep;134.117;19.710
2021;Jawa Timur;Kota Kediri;61.812;58.704
2021;Jawa Timur;Kota Blitar;27.443;26.808
2021;Jawa Timur;Kota Malang;247.389;242.577
2021;Jawa Timur;Kota Probolinggo;35.248;30.081
2021;Jawa Timur;Kota Pasuruan;49.349;48.709
2021;Jawa Timur;Kota Madiun;43.695;42.833
2021;Jawa Timur;Kota Surabaya;650.615;642.663
2021;Jawa Timur;Kota Batu;41.762;40.632
2021;Banten;Kab. Serang;424.802;35.621
2021;Banten;Kota Cilegon;79.369;59.876
2021;Banten;Kota Tangerang Selatan;291.659;255.331
2021;Bali;Kab. Jembrana;59.396;31.033
2021;Bali;Kab. Tabanan;84.247;46.946
2021;Bali;Kab. Badung;116.731;108.088
2021;Bali;Kab. Gianyar;141.337;124.162
